Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
Senegal,2017,All ages,Both,Chronic respiratory diseases,Bullying victimization,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Chronic respiratory diseases,Bullying victimization,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Chronic respiratory diseases,High LDL cholesterol,DALYs,0,0,0
Senegal,2017,All ages,Both,Chronic respiratory diseases,High LDL cholesterol,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Chronic respiratory diseases,High LDL cholesterol,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Unsafe water source,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Unsafe water source,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Unsafe water source,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Unsafe sanitation,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Unsafe sanitation,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Unsafe sanitation,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Ambient particulate matter pollution,DALYs,14263.09495,5667.737248,25648.5845
Senegal,2017,All ages,Both,Cardiovascular diseases,Ambient particulate matter pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Ambient particulate matter pollution,"DALYs per 100,000",97.10690402,38.58744675,174.6223132
Senegal,2017,All ages,Both,Cardiovascular diseases,Household air pollution from solid fuels,DALYs,49389.74639,37532.14498,62296.87425
Senegal,2017,All ages,Both,Cardiovascular diseases,Household air pollution from solid fuels,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Household air pollution from solid fuels,"DALYs per 100,000",336.2583913,255.5287203,424.1335144
Senegal,2017,All ages,Both,Cardiovascular diseases,Ambient ozone pollution,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Ambient ozone pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Ambient ozone pollution,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Residential radon,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Residential radon,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Residential radon,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Lead exposure,DALYs,14934.65354,7824.132227,22625.86595
Senegal,2017,All ages,Both,Cardiovascular diseases,Lead exposure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Lead exposure,"DALYs per 100,000",101.6790517,53.26875126,154.0428498
Senegal,2017,All ages,Both,Cardiovascular diseases,Child underweight,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Child underweight,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Child underweight,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Iron deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Iron deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Iron deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Vitamin A deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Vitamin A deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Vitamin A deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Zinc deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Zinc deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Zinc deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Smoking,DALYs,24626.6095,17906.22685,32853.70908
Senegal,2017,All ages,Both,Cardiovascular diseases,Smoking,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Smoking,"DALYs per 100,000",167.6644384,121.9103048,223.6766975
Senegal,2017,All ages,Both,Cardiovascular diseases,Secondhand smoke,DALYs,10995.32946,8256.260018,14129.92823
Senegal,2017,All ages,Both,Cardiovascular diseases,Secondhand smoke,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Secondhand smoke,"DALYs per 100,000",74.85909657,56.21079099,96.20026991
Senegal,2017,All ages,Both,Cardiovascular diseases,Alcohol use,DALYs,315.1559693,-1801.820938,3774.585618
Senegal,2017,All ages,Both,Cardiovascular diseases,Alcohol use,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Alcohol use,"DALYs per 100,000",2.145664778,-12.26727113,25.69837224
Senegal,2017,All ages,Both,Cardiovascular diseases,Drug use,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Drug use,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Drug use,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,High fasting plasma glucose,DALYs,67814.67876,47999.60973,95957.09839
Senegal,2017,All ages,Both,Cardiovascular diseases,High fasting plasma glucose,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,High fasting plasma glucose,"DALYs per 100,000",461.7001796,326.793975,653.3011787
Senegal,2017,All ages,Both,Cardiovascular diseases,High systolic blood pressure,DALYs,211885.6118,178615.85,242993.1102
Senegal,2017,All ages,Both,Cardiovascular diseases,High systolic blood pressure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,High systolic blood pressure,"DALYs per 100,000",1442.573006,1216.063713,1654.361043
Senegal,2017,All ages,Both,Cardiovascular diseases,High body-mass index,DALYs,79877.27271,48801.72989,114021.1258
Senegal,2017,All ages,Both,Cardiovascular diseases,High body-mass index,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,High body-mass index,"DALYs per 100,000",543.8254938,332.2550202,776.2858311
Senegal,2017,All ages,Both,Cardiovascular diseases,Low bone mineral density,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Low bone mineral density,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Low bone mineral density,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in fruits,DALYs,71378.12542,46301.37187,99331.54792
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in fruits,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in fruits,"DALYs per 100,000",485.9610623,315.2319248,676.2753192
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in vegetables,DALYs,46105.77228,24959.61742,71701.61828
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in vegetables,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in vegetables,"DALYs per 100,000",313.9002313,169.931644,488.1634869
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in whole grains,DALYs,68379.13443,46755.47933,92546.91911
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in whole grains,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in whole grains,"DALYs per 100,000",465.5431424,318.3236079,630.0837807
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in nuts and seeds,DALYs,40177.80126,25151.68285,57758.37254
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in nuts and seeds,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in nuts and seeds,"DALYs per 100,000",273.5410445,171.239276,393.2342004
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in milk,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in milk,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in milk,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in red meat,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in red meat,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in red meat,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in processed meat,DALYs,234.9087085,0.001986876,1362.052715
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in processed meat,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in processed meat,"DALYs per 100,000",1.599320308,1.35272E-05,9.273213332
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in sugar-sweetened beverages,DALYs,943.7738417,,2281.632394
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in sugar-sweetened beverages,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in sugar-sweetened beverages,"DALYs per 100,000",6.425460685,,15.53395379
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in fiber,DALYs,4389.939169,1321.92219,9466.30939
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in fiber,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in fiber,"DALYs per 100,000",29.88786116,8.999994155,64.44912556
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in seafood omega-3 fatty acids,DALYs,33716.6919,15863.09786,54266.48236
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in seafood omega-3 fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in seafood omega-3 fatty acids,"DALYs per 100,000",229.5521116,108.0001449,369.4604931
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in polyunsaturated fatty acids,DALYs,11478.28762,4410.16811,20566.53059
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in polyunsaturated fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in polyunsaturated fatty acids,"DALYs per 100,000",78.14720282,30.02558511,140.0223527
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in trans fatty acids,DALYs,1317.397099,3.225907821,5347.405208
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in trans fatty acids,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in trans fatty acids,"DALYs per 100,000",8.969186147,0.021962829,36.40654192
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in sodium,DALYs,20723.88387,2.980549743,70551.0673
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in sodium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet high in sodium,"DALYs per 100,000",141.0936553,0.020292367,480.330233
Senegal,2017,All ages,Both,Cardiovascular diseases,Low physical activity,DALYs,16997.5708,8411.737388,28055.97403
Senegal,2017,All ages,Both,Cardiovascular diseases,Low physical activity,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Low physical activity,"DALYs per 100,000",115.7239352,57.26932184,191.0124546
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational asthmagens,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational asthmagens,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational asthmagens,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,"Occupational particulate matter, gases, and fumes",DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,"Occupational particulate matter, gases, and fumes",Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,"Occupational particulate matter, gases, and fumes","DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational noise,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational noise,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational noise,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational injuries,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational injuries,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational injuries,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational ergonomic factors,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational ergonomic factors,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational ergonomic factors,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Childhood sexual abuse,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Childhood sexual abuse,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Childhood sexual abuse,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Intimate partner violence,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Intimate partner violence,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Intimate partner violence,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Non-exclusive breastfeeding,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Non-exclusive breastfeeding,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Non-exclusive breastfeeding,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Discontinued breastfeeding,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Discontinued breastfeeding,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Discontinued breastfeeding,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in calcium,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in calcium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in calcium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to asbestos,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to asbestos,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to asbestos,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to arsenic,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to arsenic,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to arsenic,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to benzene,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to benzene,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to benzene,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to beryllium,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to beryllium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to beryllium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to cadmium,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to cadmium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to cadmium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to chromium,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to chromium,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to chromium,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to diesel engine exhaust,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to diesel engine exhaust,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to diesel engine exhaust,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to formaldehyde,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to formaldehyde,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to formaldehyde,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to nickel,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to nickel,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to nickel,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to polycyclic aromatic hydrocarbons,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to polycyclic aromatic hydrocarbons,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to polycyclic aromatic hydrocarbons,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to silica,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to silica,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to silica,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to sulfuric acid,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to sulfuric acid,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to sulfuric acid,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Unsafe sex,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Unsafe sex,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Unsafe sex,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to trichloroethylene,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to trichloroethylene,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Occupational exposure to trichloroethylene,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,No access to handwashing facility,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,No access to handwashing facility,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,No access to handwashing facility,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Child wasting,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Child wasting,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Child wasting,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Child stunting,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Child stunting,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Child stunting,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Chewing tobacco,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Chewing tobacco,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Chewing tobacco,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in legumes,DALYs,6247.15601,1748.698104,13387.8037
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in legumes,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Diet low in legumes,"DALYs per 100,000",42.53228217,11.9055969,91.14769087
Senegal,2017,All ages,Both,Cardiovascular diseases,Short gestation for birth weight,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Short gestation for birth weight,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Short gestation for birth weight,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Low birth weight for gestation,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Low birth weight for gestation,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Low birth weight for gestation,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Impaired kidney function,DALYs,29479.65629,24344.38969,36080.13264
Senegal,2017,All ages,Both,Cardiovascular diseases,Impaired kidney function,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Impaired kidney function,"DALYs per 100,000",200.7052581,165.7430117,245.6430382
Senegal,2017,All ages,Both,Cardiovascular diseases,Bullying victimization,DALYs,0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,Bullying victimization,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,Bullying victimization,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Cardiovascular diseases,High LDL cholesterol,DALYs,75347.88207,57588.19096,93617.83417
Senegal,2017,All ages,Both,Cardiovascular diseases,High LDL cholesterol,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Cardiovascular diseases,High LDL cholesterol,"DALYs per 100,000",512.9882103,392.0755594,637.3748522
Senegal,2017,All ages,Both,Neoplasms,Unsafe water source,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,Unsafe water source,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Unsafe water source,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,Unsafe sanitation,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,Unsafe sanitation,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Unsafe sanitation,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,Ambient particulate matter pollution,DALYs,1698.763445,631.1753256,3192.425312
Senegal,2017,All ages,Both,Neoplasms,Ambient particulate matter pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Ambient particulate matter pollution,"DALYs per 100,000",11.56562859,4.297207722,21.73487167
Senegal,2017,All ages,Both,Neoplasms,Household air pollution from solid fuels,DALYs,5172.517341,3455.627335,7152.417272
Senegal,2017,All ages,Both,Neoplasms,Household air pollution from solid fuels,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Household air pollution from solid fuels,"DALYs per 100,000",35.2158593,23.52682031,48.69553908
Senegal,2017,All ages,Both,Neoplasms,Ambient ozone pollution,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,Ambient ozone pollution,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Ambient ozone pollution,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,Residential radon,DALYs,613.5324015,44.45534054,2034.862581
Senegal,2017,All ages,Both,Neoplasms,Residential radon,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Residential radon,"DALYs per 100,000",4.177090052,0.302663658,13.85387996
Senegal,2017,All ages,Both,Neoplasms,Lead exposure,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,Lead exposure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Lead exposure,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,Child underweight,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,Child underweight,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Child underweight,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,Iron deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,Iron deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Iron deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,Vitamin A deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,Vitamin A deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Vitamin A deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,Zinc deficiency,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,Zinc deficiency,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Zinc deficiency,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,Smoking,DALYs,15283.40189,11699.402,19672.00132
Senegal,2017,All ages,Both,Neoplasms,Smoking,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Smoking,"DALYs per 100,000",104.0534222,79.65260773,133.9321621
Senegal,2017,All ages,Both,Neoplasms,Secondhand smoke,DALYs,1116.029942,607.7917423,1746.835937
Senegal,2017,All ages,Both,Neoplasms,Secondhand smoke,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Secondhand smoke,"DALYs per 100,000",7.598225552,4.138006133,11.89291877
Senegal,2017,All ages,Both,Neoplasms,Alcohol use,DALYs,5974.000455,4216.965005,9220.989208
Senegal,2017,All ages,Both,Neoplasms,Alcohol use,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Alcohol use,"DALYs per 100,000",40.67256726,28.71020752,62.7789212
Senegal,2017,All ages,Both,Neoplasms,Drug use,DALYs,1899.418735,986.9487791,3420.367947
Senegal,2017,All ages,Both,Neoplasms,Drug use,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Drug use,"DALYs per 100,000",12.93174262,6.719407022,23.28676511
Senegal,2017,All ages,Both,Neoplasms,High fasting plasma glucose,DALYs,5484.456462,1492.605546,11627.59529
Senegal,2017,All ages,Both,Neoplasms,High fasting plasma glucose,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,High fasting plasma glucose,"DALYs per 100,000",37.33962293,10.16205136,79.16372878
Senegal,2017,All ages,Both,Neoplasms,High systolic blood pressure,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,High systolic blood pressure,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,High systolic blood pressure,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,High body-mass index,DALYs,8343.600836,4102.259343,14183.02632
Senegal,2017,All ages,Both,Neoplasms,High body-mass index,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,High body-mass index,"DALYs per 100,000",56.80543026,27.92926119,96.56177572
Senegal,2017,All ages,Both,Neoplasms,Low bone mineral density,DALYs,0,0,0
Senegal,2017,All ages,Both,Neoplasms,Low bone mineral density,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Low bone mineral density,"DALYs per 100,000",0,0,0
Senegal,2017,All ages,Both,Neoplasms,Diet low in fruits,DALYs,5589.278037,3046.822217,8587.896799
Senegal,2017,All ages,Both,Neoplasms,Diet low in fruits,Percent of total DALYs,0,,
Senegal,2017,All ages,Both,Neoplasms,Diet low in fruits,"DALYs per 100,000",38.0532758,20.74356748,58.46866147
